codigo_municipio,anno,cantidad,delito
05154,2023,47,7
05154,2024,10,2
05154,2024,2,6
05154,2024,1,7
05172,2010,1,1
05172,2010,2,3
05172,2013,3,3
05172,2014,1,1
05172,2014,2,4
05172,2015,1,1
05172,2015,1,3
05172,2016,1,3
05172,2017,1,1
05172,2017,3,3
05172,2018,1,3
05172,2020,25,2
05172,2020,1,3
05172,2020,28,6
05172,2020,22,7
05172,2021,1,1
05172,2021,16,2
05172,2021,1,3
05172,2021,32,7
05172,2022,5,1
05172,2022,15,2
05172,2022,9,6
05172,2022,72,7
05172,2023,47,2
05172,2023,2,3
05172,2023,17,6
05172,2023,28,7
05172,2024,5,2
05190,2011,1,1
05190,2013,5,3
05190,2014,2,3
05190,2015,1,1
05190,2015,2,5
05190,2017,1,1
05190,2017,3,3
05190,2018,2,1
05190,2018,2,3
05190,2019,1,1
05190,2019,2,3
05190,2020,1,1
05190,2020,2,3
05190,2020,2,6
05190,2020,3,7
05190,2021,1,1
05190,2021,6,2
05190,2021,8,7
05190,2022,1,1
05190,2022,10,2
05190,2022,3,3
05190,2022,7,6
05190,2022,16,7
05190,2023,10,2
05190,2023,12,6
05190,2023,10,7
05190,2024,1,6
05190,2024,1,7
05197,2011,2,1
05197,2011,2,5
05197,2013,1,1
05197,2013,2,5
05197,2015,2,1
05197,2015,4,5
05197,2016,1,1
05197,2016,2,5
05197,2017,1,1
05197,2017,2,3
05197,2017,4,5
05197,2018,1,1
05197,2018,3,3
05197,2018,4,5
05197,2019,2,1
05197,2020,4,2
05197,2020,1,3
05197,2020,2,5
05197,2020,8,6
05197,2020,4,7
05197,2021,2,1
05197,2021,4,2
05197,2021,2,3
05197,2021,6,7
05197,2022,5,1
05197,2022,21,2
05197,2022,2,3
05197,2022,4,5
05197,2022,7,6
05197,2022,16,7
05197,2023,1,1
05197,2023,17,2
05197,2023,8,5
05197,2023,29,6
05197,2023,11,7
05197,2024,1,2
05206,2015,1,3
05206,2016,2,3
05206,2018,2,3
05206,2020,2,2
05206,2020,1,3
05206,2020,5,6
05206,2020,5,7
05206,2021,2,3
05206,2021,5,7
05206,2022,1,2
05206,2022,2,3
05206,2022,2,6
05206,2022,8,7
05206,2023,6,2
05206,2023,2,3
05206,2023,8,6
05206,2023,17,7
05209,2015,4,3
05209,2018,1,1
05209,2018,2,3
05209,2019,2,1
05209,2019,1,3
05209,2020,4,2
05209,2020,1,3
05209,2020,9,6
05209,2020,16,7
05209,2021,1,1
05209,2021,6,2
05209,2021,7,7
05209,2022,2,1
05209,2022,8,2
05209,2022,6,6
05209,2022,13,7
05209,2023,1,1
05209,2023,15,2
05209,2023,11,6
05209,2023,12,7
05209,2024,4,2
05212,2010,21,1
05212,2010,1,3
05212,2010,2,4
05212,2010,14,5
05212,2011,23,1
05212,2011,6,5
05212,2012,30,1
05212,2012,1,3
05212,2012,2,5
05212,2013,26,1
05212,2013,1,3
05212,2013,2,5
05212,2014,14,1
05212,2014,1,3
05212,2014,2,4
05212,2015,19,1
05212,2015,4,3
05212,2015,2,4
05212,2016,18,1
05212,2016,3,3
05212,2017,30,1
05212,2017,2,3
05212,2018,25,1
05212,2018,15,3
05212,2018,6,5
05212,2019,29,1
05212,2019,2,3
05212,2019,2,5
05212,2020,22,1
05212,2020,55,2
05212,2020,3,3
05212,2020,4,5
05212,2020,58,6
05212,2020,50,7
05212,2021,35,1
05212,2021,73,2
05212,2021,2,4
05212,2021,1,6
05212,2021,48,7
05212,2022,53,1
05212,2022,133,2
05212,2022,2,3
05212,2022,72,6
05212,2022,121,7
05212,2023,11,1
05212,2023,158,2
05212,2023,73,6
05212,2023,118,7
05212,2024,2,1
05212,2024,9,2
05212,2024,4,6
05212,2024,7,7
05234,2010,2,3
05234,2012,1,3
05234,2013,1,3
05234,2016,1,3
05234,2017,2,3
05234,2018,1,1
05234,2018,1,3
05234,2018,2,5
05234,2020,6,2
05234,2020,2,4
05234,2020,6,6
05234,2020,5,7
05234,2021,1,1
05234,2021,4,2
05234,2021,6,7
05234,2022,5,2
05234,2022,8,6
05234,2022,10,7
05234,2023,10,2
05234,2023,8,6
05234,2023,8,7
05237,2010,1,3
05237,2011,1,1
05237,2011,2,5
05237,2012,1,1
05237,2012,2,4
05237,2012,2,5
05237,2013,3,1
05237,2013,2,5
05237,2014,1,1
05237,2014,3,3
05237,2015,6,3
05237,2016,3,1
05237,2016,3,3
05237,2017,5,1
05237,2017,3,3
05237,2018,1,1
05237,2018,7,3
05237,2019,4,1
05237,2019,1,3
05237,2020,1,1
05237,2020,13,2
05237,2020,3,3
05237,2020,9,6
05237,2020,7,7
05237,2021,6,1
05237,2021,7,2
05237,2021,18,7
05237,2022,2,1
05237,2022,8,2
05237,2022,1,3
05237,2022,15,6
05237,2022,28,7
05237,2023,19,2
05237,2023,4,3
05237,2023,45,6
05237,2023,19,7
05237,2024,3,2
05237,2024,2,6
05237,2024,2,7
05240,2014,1,1
05240,2015,1,1
05240,2015,1,3
05240,2018,1,3
05240,2019,1,3
05240,2020,1,1
05240,2020,6,2
05240,2020,1,7
05240,2021,1,1
05240,2021,2,2
05240,2022,2,6
05240,2022,4,7
05240,2023,6,2
05240,2023,5,6
05240,2023,5,7
05240,2024,1,3
05250,2010,1,1
05250,2011,1,1
05250,2016,1,1
05250,2017,1,3
05250,2017,2,5
05250,2019,1,3
05250,2020,1,1
05250,2020,13,2
05250,2020,1,3
05250,2020,3,6
05250,2020,2,7
05250,2021,24,2
05250,2021,7,7
05250,2022,30,2
05250,2022,12,6
05250,2022,13,7
05250,2023,1,1
05250,2023,18,2
05250,2023,16,6
05250,2023,2,7
05250,2024,2,2
05250,2024,2,6
05250,2024,3,7
05264,2013,1,1
05264,2013,1,3
05264,2017,2,1
05264,2017,1,3
05264,2018,2,1
05264,2018,2,3
05264,2019,1,3
05264,2020,1,3
05264,2020,6,6
05264,2020,7,7
05264,2021,2,1
05264,2021,2,2
05264,2021,1,3
05264,2021,7,7
05264,2022,4,2
05264,2022,3,3
05264,2022,6,6
05264,2022,16,7
05264,2023,1,1
05264,2023,5,2
05264,2023,2,3
05264,2023,19,6
05264,2023,2,7
05264,2024,1,2
05264,2024,1,7
05266,2010,32,1
05266,2010,4,5
05266,2011,176,1
05266,2011,4,4
05266,2011,4,5
05266,2012,79,1
05266,2012,8,5
05266,2013,69,1
05266,2013,4,4
05266,2013,4,5
05266,2014,50,1
05266,2014,1,3
05266,2015,80,1
05266,2015,1,3
05266,2015,4,5
05266,2016,76,1
05266,2016,4,3
05266,2016,6,4
05266,2017,43,1
05266,2017,5,3
05266,2018,50,1
05266,2018,2,3
05266,2018,4,4
05266,2018,2,5
05266,2019,49,1
05266,2019,1,3
05266,2019,2,4
05266,2020,67,1
05266,2020,134,2
05266,2020,304,6
05266,2020,177,7
05266,2021,61,1
05266,2021,130,2
05266,2021,234,7
05266,2022,79,1
05266,2022,126,2
05266,2022,235,6
05266,2022,456,7
05266,2023,19,1
05266,2023,194,2
05266,2023,2,4
05266,2023,393,6
05266,2023,321,7
05266,2024,1,1
05266,2024,14,2
05266,2024,31,6
05266,2024,18,7
05282,2011,1,3
05282,2012,1,3
05282,2014,1,1
05282,2014,2,5
05282,2015,1,1
05282,2015,1,3
05282,2015,2,4
05282,2015,2,5
05282,2016,1,1
05282,2016,2,3
05282,2017,2,3
05282,2018,2,3
05282,2019,1,1
05282,2020,1,1
05282,2020,7,2
05282,2020,12,6
05282,2020,17,7
05282,2021,6,2
05282,2021,3,3
05282,2021,8,7
05282,2022,3,1
05282,2022,5,2
05282,2022,2,3
05282,2022,2,6
05282,2022,22,7
05282,2023,7,2
05282,2023,3,3
05282,2023,7,6
05282,2023,21,7
05282,2024,1,2
05284,2020,3,2
05284,2020,6,6
05284,2020,2,7
05284,2021,4,2
05284,2021,1,3
05284,2021,3,7
05284,2022,5,2
05284,2022,8,6
05284,2022,12,7
05284,2023,4,2
05284,2023,17,6
05284,2023,7,7
05284,2024,2,2
05284,2024,1,6
05284,2024,1,7
05306,2011,1,1
05306,2013,1,1
05306,2013,2,5
05306,2014,1,1
05306,2014,2,5
05306,2020,2,2
05306,2020,1,6
05306,2020,2,7
05306,2021,3,2
05306,2022,2,6
05306,2022,4,7
05306,2023,3,2
05306,2023,4,6
05306,2023,2,7
05306,2024,1,1
05306,2024,1,2
05308,2010,9,1
05308,2010,1,3
05308,2010,4,5
05308,2011,8,1
05308,2011,2,3
05308,2012,4,1
05308,2012,1,3
05308,2012,2,5
05308,2013,16,1
05308,2013,10,5
05308,2014,2,1
05308,2014,2,3
05308,2015,6,1
05308,2015,5,3
05308,2016,6,1
05308,2016,6,3
05308,2017,7,1
05308,2017,6,3
05308,2018,8,1
05308,2018,5,3
05308,2018,2,4
05308,2018,4,5
05308,2019,5,1
05308,2019,2,3
05308,2020,5,1
05308,2020,30,2
05308,2020,3,3
05308,2020,2,5
05308,2020,44,6
05308,2020,25,7
05308,2021,4,1
05308,2021,36,2
05308,2021,2,3
05308,2021,2,5
05308,2021,38,7
05308,2022,17,1
05308,2022,56,2
05308,2022,47,6
05308,2022,77,7
05308,2023,3,1
05308,2023,53,2
05308,2023,2,3
05308,2023,64,6
05308,2023,86,7
05308,2024,2,2
05308,2024,5,6
05310,2014,3,3
05310,2015,1,3
05310,2017,3,3
05310,2018,4,3
05310,2019,2,3
05310,2020,2,2
05310,2020,3,3
05310,2020,2,4
05310,2020,3,6
05310,2020,3,7
05310,2021,2,1
05310,2021,1,3
05310,2021,7,7
05310,2022,7,2
05310,2022,4,3
05310,2022,2,4
05310,2022,3,6
05310,2022,9,7
05310,2023,1,1
05310,2023,3,2
05310,2023,2,3
05310,2023,11,6
05310,2023,20,7
05310,2024,1,6
05313,2010,1,3
05313,2013,1,3
05313,2015,1,1
05313,2015,2,3
05313,2015,2,5
05313,2020,2,2
05313,2020,1,3
05313,2020,3,6
05313,2020,3,7
05313,2021,2,1
05313,2021,8,2
05313,2021,2,3
05313,2021,4,7
05313,2022,5,2
05313,2022,1,3
05313,2022,6,6
05313,2022,18,7
05313,2023,2,2
05313,2023,1,3
05313,2023,11,6
05313,2023,19,7
05315,2015,1,3
05315,2019,1,3
05315,2020,2,4
05315,2020,2,6
05315,2020,1,7
05315,2021,6,7
05315,2022,1,2
05315,2022,1,3
05315,2022,2,5
05315,2022,1,6
05315,2022,2,7
05315,2023,7,2
05315,2023,7,6
05315,2023,2,7
05315,2024,1,6
05318,2010,1,1
05318,2011,7,1
