codigo_municipio,anno,cantidad,delito,codigo_departamento,poblacion,indice
05044,2015,6,11,05,6976.0,86.01
05044,2015,17,14,05,6976.0,243.69
05044,2015,2,15,05,6976.0,28.67
05044,2016,1,3,05,6961.0,14.37
05044,2016,4,8,05,6961.0,57.46
05044,2016,7,9,05,6961.0,100.56
05044,2016,7,11,05,6961.0,100.56
05044,2016,16,14,05,6961.0,229.85
05044,2016,9,15,05,6961.0,129.29
05044,2017,1,3,05,6970.0,14.35
05044,2017,7,8,05,6970.0,100.43
05044,2017,3,9,05,6970.0,43.04
05044,2017,10,11,05,6970.0,143.47
05044,2017,15,14,05,6970.0,215.21
05044,2018,1,1,05,7010.0,14.27
05044,2018,6,8,05,7010.0,85.59
05044,2018,3,9,05,7010.0,42.8
05044,2018,8,11,05,7010.0,114.12
05044,2018,7,14,05,7010.0,99.86
05044,2018,5,15,05,7010.0,71.33
05044,2019,2,3,05,7085.0,28.23
05044,2019,2,8,05,7085.0,28.23
05044,2019,1,9,05,7085.0,14.11
05044,2019,5,11,05,7085.0,70.57
05044,2019,16,14,05,7085.0,225.83
05044,2019,7,15,05,7085.0,98.8
05045,2011,1,1,05,104703.0,0.96
05045,2011,126,8,05,104703.0,120.34
05045,2011,78,9,05,104703.0,74.5
05045,2011,53,11,05,104703.0,50.62
05045,2011,1,12,05,104703.0,0.96
05045,2011,167,14,05,104703.0,159.5
05045,2011,21,15,05,104703.0,20.06
05045,2013,3,3,05,108910.0,2.75
05045,2013,186,8,05,108910.0,170.78
05045,2013,33,9,05,108910.0,30.3
05045,2013,113,11,05,108910.0,103.76
05045,2013,2,13,05,108910.0,1.84
05045,2013,294,14,05,108910.0,269.95
05045,2013,54,15,05,108910.0,49.58
05045,2014,1,1,05,111088.0,0.9
05045,2014,172,8,05,111088.0,154.83
05045,2014,37,9,05,111088.0,33.31
05045,2014,137,11,05,111088.0,123.33
05045,2014,266,14,05,111088.0,239.45
05045,2014,50,15,05,111088.0,45.01
05045,2015,1,1,05,113243.0,0.88
05045,2015,105,8,05,113243.0,92.72
05045,2015,27,9,05,113243.0,23.84
05045,2015,321,11,05,113243.0,283.46
05045,2015,165,14,05,113243.0,145.7
05045,2015,102,15,05,113243.0,90.07
05045,2016,1,1,05,115555.0,0.87
05045,2016,2,3,05,115555.0,1.73
05045,2016,302,8,05,115555.0,261.35
05045,2016,35,9,05,115555.0,30.29
05045,2016,304,11,05,115555.0,263.08
05045,2016,293,14,05,115555.0,253.56
05045,2016,65,15,05,115555.0,56.25
05045,2017,2,1,05,118064.0,1.69
05045,2017,1,3,05,118064.0,0.85
05045,2017,360,8,05,118064.0,304.92
05045,2017,54,9,05,118064.0,45.74
05045,2017,234,11,05,118064.0,198.2
05045,2017,297,14,05,118064.0,251.56
05045,2017,77,15,05,118064.0,65.22
05045,2018,1,1,05,121003.0,0.83
05045,2018,3,3,05,121003.0,2.48
05045,2018,323,8,05,121003.0,266.94
05045,2018,54,9,05,121003.0,44.63
05045,2018,148,11,05,121003.0,122.31
05045,2018,270,14,05,121003.0,223.13
05045,2018,89,15,05,121003.0,73.55
05045,2019,4,1,05,124647.0,3.21
05045,2019,410,8,05,124647.0,328.93
05045,2019,44,9,05,124647.0,35.3
05045,2019,319,11,05,124647.0,255.92
05045,2019,303,14,05,124647.0,243.09
05045,2019,98,15,05,124647.0,78.62
05051,2017,2,3,05,29045.0,6.89
05051,2017,16,8,05,29045.0,55.09
05051,2017,11,9,05,29045.0,37.87
05051,2017,9,11,05,29045.0,30.99
05051,2017,27,14,05,29045.0,92.96
05051,2017,13,15,05,29045.0,44.76
05051,2019,1,3,05,29942.0,3.34
05051,2019,20,8,05,29942.0,66.8
05051,2019,4,9,05,29942.0,13.36
05051,2019,14,11,05,29942.0,46.76
05051,2019,17,14,05,29942.0,56.78
05051,2019,12,15,05,29942.0,40.08
05055,2015,1,3,05,8098.0,12.35
05055,2015,5,8,05,8098.0,61.74
05055,2015,2,9,05,8098.0,24.7
05055,2015,2,11,05,8098.0,24.7
05055,2015,13,14,05,8098.0,160.53
05055,2015,2,15,05,8098.0,24.7
05055,2016,1,3,05,7929.0,12.61
05055,2016,4,8,05,7929.0,50.45
05055,2016,1,9,05,7929.0,12.61
05055,2016,2,11,05,7929.0,25.22
05055,2016,24,14,05,7929.0,302.69
05055,2016,5,15,05,7929.0,63.06
05055,2017,1,3,05,7771.0,12.87
05055,2017,4,8,05,7771.0,51.47
05055,2017,2,11,05,7771.0,25.74
05055,2017,12,14,05,7771.0,154.42
05055,2017,6,15,05,7771.0,77.21
05059,2017,1,1,05,5189.0,19.27
05059,2017,2,8,05,5189.0,38.54
05059,2017,3,9,05,5189.0,57.81
05059,2017,8,11,05,5189.0,154.17
05059,2017,15,14,05,5189.0,289.07
05059,2017,4,15,05,5189.0,77.09
05059,2018,1,1,05,5139.0,19.46
05059,2018,2,8,05,5139.0,38.92
05059,2018,4,9,05,5139.0,77.84
05059,2018,2,11,05,5139.0,38.92
